X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000000457	347	616	573	470	607	298	762	333
ENSG00000000460	223	780	172	94	235	110	274	111
ENSG00000000938	224	169	314	62	178	828	278	92
ENSG00000000971	408	446	645	485	2154	1470	1326	624
ENSG00000001460	73	200	135	148	124	128	369	125
ENSG00000001461	310	957	823	771	628	600	2037	965
ENSG00000004455	1149	5270	2374	1164	1317	1248	2760	1318
ENSG00000004487	2107	3539	1091	867	977	870	2616	1196
ENSG00000006555	184	464	287	130	131	137	185	14
ENSG00000007341	114	177	241	120	250	163	481	235
ENSG00000007908	13	37	464	51	330	92	94	51
ENSG00000007923	928	1407	549	515	578	562	1287	820
ENSG00000007933	13	13	39	25	260	62	95	58
ENSG00000007968	198	1144	165	25	66	67	373	119
ENSG00000008118	18	2	10	0	2	55	16	2
ENSG00000008128	69	89	86	11	37	39	99	68
ENSG00000008130	1211	1667	1933	948	1038	1871	2673	1077
ENSG00000009307	4993	9926	10083	6548	6846	6548	13369	6321
ENSG00000009709	0	0	0	0	2	0	0	0
ENSG00000009724	3	5	9	0	0	1	1	3
ENSG00000009780	157	308	201	198	201	184	496	244
ENSG00000009790	264	174	370	86	385	574	396	106
ENSG00000010072	263	502	172	165	336	150	246	151
ENSG00000010165	733	1606	526	668	980	506	997	525
ENSG00000010803	458	777	432	683	515	497	970	605
ENSG00000010932	13	87	185	84	123	591	138	45
ENSG00000011007	1033	1282	990	697	637	828	1784	987
ENSG00000011009	749	2061	684	783	573	776	1697	674
ENSG00000011021	201	321	259	173	300	453	505	371
ENSG00000014914	64	529	138	158	340	120	450	155
ENSG00000016490	0	0	0	0	0	0	0	0
ENSG00000016602	0	9	2	5	2	3	2	0
ENSG00000018625	0	0	1	18	78	11	97	104
ENSG00000020129	189	777	389	421	466	479	3052	741
ENSG00000020633	213	1222	1497	169	729	739	717	178
ENSG00000021852	0	0	0	1	0	0	0	0
ENSG00000023572	105	527	114	142	167	71	195	81
ENSG00000023902	1040	728	984	354	1343	1264	1846	587
ENSG00000023909	208	701	424	215	292	280	557	315
ENSG00000024526	304	379	173	20	64	48	195	145
ENSG00000025800	842	2205	1256	1172	1190	1061	2913	1569
ENSG00000026751	1300	980	2071	151	284	865	677	119
ENSG00000027644	19	3	2	2	8	26	16	2
ENSG00000027869	104	132	139	28	75	143	123	35
ENSG00000028137	641	404	1341	422	1223	1897	1245	398
ENSG00000031698	690	1734	1336	1510	1322	1096	2745	2151
ENSG00000033122	1	0	0	0	4	0	0	0
ENSG00000034971	0	1	0	23	1	0	0	0
ENSG00000035687	1168	1941	842	1164	1092	699	1292	552
ENSG00000036549	426	879	709	541	712	1167	2014	681
ENSG00000037637	406	507	434	425	451	443	927	390
ENSG00000040487	186	309	159	143	199	271	432	270
ENSG00000041988	179	193	250	138	138	149	384	218
ENSG00000042781	0	0	0	3	8	0	5	0
ENSG00000043514	209	509	239	122	248	192	269	203
ENSG00000047410	1907	5401	2719	1643	2898	1912	3552	1924
ENSG00000048707	727	971	1036	1343	1806	1191	2749	1754
ENSG00000049089	83	286	267	1254	991	512	265	532
ENSG00000049239	1337	1093	2800	1642	2442	2474	3091	1756
ENSG00000049245	704	1720	954	1204	1279	1534	2431	1234
ENSG00000049246	117	252	269	462	716	707	734	804
ENSG00000049247	1	2	4	3	6	5	2	0
ENSG00000049249	16	22	76	1	28	44	24	5
ENSG00000050628	22	42	95	291	270	169	694	926
ENSG00000052723	376	770	698	428	619	431	1197	478
ENSG00000053371	790	1090	280	510	556	524	2230	1132
